income,name_email_similarity,foreign_request,device_os,source,email_is_free,zip_count_4w,keep_alive_session,phone_home_valid,phone_mobile_valid,device_distinct_emails_8w,proposed_credit_limit,employment_status,customer_age,month,fraud_bool
0.9,0.1623162574950775,0,windows,INTERNET,0,904,1,0,1,1,500.0,CA,40,6,0
0.1,0.0142321822535903,0,linux,INTERNET,1,1560,0,0,1,1,1000.0,CA,40,6,0
0.1,0.5569281579866446,0,other,INTERNET,1,1095,1,0,1,1,200.0,CA,50,2,0
0.9,0.4251145712413929,0,other,INTERNET,0,1691,0,0,1,1,200.0,CA,30,2,0
0.8,0.0602176543531127,0,other,INTERNET,1,632,0,1,0,1,200.0,CC,50,6,0
0.1,0.2747196011904266,0,windows,INTERNET,1,2392,1,0,1,1,200.0,CA,30,0,0
0.9,0.6380168098884578,0,other,INTERNET,0,851,1,1,1,1,200.0,CA,40,1,0
0.4,0.2447141718823931,0,other,INTERNET,1,695,1,0,1,1,1500.0,CA,50,7,0
0.2,0.9015599495009784,0,linux,INTERNET,1,586,1,0,1,1,200.0,CE,20,7,0
0.9,0.6607716714588493,0,other,INTERNET,0,1232,1,1,0,2,200.0,CB,50,5,0
0.7000000000000001,0.3954032510364094,0,other,INTERNET,0,890,0,1,1,1,1000.0,CA,20,4,0
0.9,0.7365513811660809,0,other,INTERNET,1,455,1,0,1,1,1500.0,CA,60,4,0
0.5,0.1823271147798208,0,linux,INTERNET,1,1506,0,1,1,1,200.0,CA,50,1,0
0.8,0.9565396861055112,0,linux,INTERNET,1,1068,1,0,1,1,1500.0,CB,30,1,0
0.3,0.538391321353788,0,other,INTERNET,0,858,0,0,1,1,1500.0,CD,30,3,0
0.1,0.5474166867109751,0,linux,INTERNET,1,3494,0,0,1,1,200.0,CE,10,3,0
0.4,0.1451578351576391,0,linux,INTERNET,1,1543,0,1,1,1,200.0,CA,30,0,0
0.6000000000000001,0.6287379736116475,0,linux,INTERNET,1,756,1,0,1,1,200.0,CA,30,2,0
0.6000000000000001,0.7537650036866991,0,linux,INTERNET,1,2320,0,0,1,1,200.0,CA,40,2,0
0.8,0.0988082454551982,0,linux,INTERNET,1,971,0,0,1,1,200.0,CA,20,4,0
0.8,0.9044750326158968,0,windows,INTERNET,0,2715,1,0,1,1,500.0,CA,30,0,0
0.3,0.9987477897719356,0,other,INTERNET,0,2075,0,0,1,1,210.0,CA,30,4,0
0.6000000000000001,0.9923590075491628,0,linux,INTERNET,0,1479,1,1,0,1,200.0,CA,50,2,0
0.4,0.0059965947905577,0,linux,INTERNET,0,1956,0,1,1,1,200.0,CA,40,0,0
0.6000000000000001,0.062656659562,0,other,INTERNET,1,1458,0,0,1,1,500.0,CA,30,3,0
0.9,0.1456172556708859,0,windows,INTERNET,0,951,1,0,1,1,200.0,CA,20,5,0
0.7000000000000001,0.6902439122163702,0,other,INTERNET,1,1074,0,0,1,1,200.0,CB,20,6,0
0.2,0.7333555496372549,0,windows,INTERNET,1,684,0,0,1,1,200.0,CA,20,1,0
0.9,0.2643740998846026,0,other,INTERNET,1,916,1,0,1,1,500.0,CA,20,7,0
0.9,0.0795820789801716,0,linux,INTERNET,0,2635,1,0,1,1,2000.0,CA,40,3,0
0.8,0.6723334660705418,0,windows,INTERNET,1,1510,0,1,0,1,200.0,CC,60,5,0
0.1,0.4649935311254838,0,other,INTERNET,0,1025,0,0,1,1,200.0,CA,20,1,0
0.1,0.1526937229845957,0,other,INTERNET,1,1279,1,1,1,1,200.0,CA,40,6,0
0.9,0.5022958386405296,0,other,INTERNET,1,1046,1,1,1,1,200.0,CB,40,3,0
0.2,0.0883429765093058,0,linux,INTERNET,1,1413,1,0,1,1,200.0,CA,20,0,0
0.6000000000000001,0.1366183543523372,0,windows,INTERNET,0,1076,0,1,1,1,200.0,CD,40,5,0
0.2,0.5765108181190896,0,windows,INTERNET,1,4574,1,0,1,1,500.0,CA,40,0,0
0.8,0.7226348797456481,0,other,INTERNET,0,986,0,0,1,1,200.0,CA,20,7,0
0.9,0.426326331052101,0,linux,INTERNET,0,1813,0,0,1,1,200.0,CB,50,0,0
0.1,0.7772196746756104,0,other,INTERNET,1,1415,1,0,1,1,500.0,CA,30,5,0
0.9,0.2629057425326672,0,linux,INTERNET,1,2470,1,1,1,1,200.0,CB,40,5,0
0.5,0.2702868291920252,0,other,INTERNET,1,1616,1,0,1,1,200.0,CA,20,2,0
0.3,0.148434009121202,0,other,INTERNET,0,1808,1,1,0,1,200.0,CA,50,5,0
0.5,0.8808590424043679,0,other,INTERNET,0,3730,0,0,1,1,200.0,CA,30,3,0
0.6000000000000001,0.3674578069376987,0,linux,INTERNET,0,2873,1,1,1,1,200.0,CB,50,1,0
0.9,0.4784201213471267,0,windows,INTERNET,0,1081,1,0,1,1,500.0,CA,40,6,0
0.9,0.51354088422081,0,linux,INTERNET,1,1482,0,0,1,1,200.0,CA,30,2,0
0.8,0.0506787672765049,0,linux,INTERNET,0,1109,1,0,1,1,200.0,CA,40,2,0
0.4,0.1719530499690355,0,other,INTERNET,0,1615,0,1,1,1,1000.0,CD,40,1,0
0.8,0.2090017287656082,0,other,INTERNET,1,463,1,0,1,1,200.0,CA,30,5,0
0.3,0.5130909697345626,0,windows,INTERNET,0,2356,1,0,1,1,1000.0,CA,30,3,0
0.5,0.7739754962121204,0,windows,INTERNET,0,2002,0,0,1,1,200.0,CA,20,2,0
0.6000000000000001,0.8727762721069552,0,other,INTERNET,0,921,0,0,1,1,200.0,CA,30,7,0
0.2,0.8383219864392395,0,linux,INTERNET,1,259,0,1,1,1,500.0,CA,20,3,0
0.6000000000000001,0.466000694094741,0,other,INTERNET,1,551,1,1,1,1,200.0,CA,30,5,0
0.7000000000000001,0.7348670164530992,0,other,INTERNET,0,554,1,0,1,1,200.0,CA,20,6,0
0.8,0.4596018476632222,0,windows,INTERNET,0,703,1,0,1,1,1000.0,CA,30,7,0
0.8,0.4794903197487846,0,other,INTERNET,1,1260,1,0,1,2,1500.0,CA,30,0,0
0.2,0.1540873522092224,0,windows,INTERNET,1,1619,1,1,1,1,200.0,CB,30,2,0
0.9,0.1885345216502576,0,windows,INTERNET,0,1773,1,0,1,1,200.0,CA,30,2,0
0.1,0.0539788618009379,0,x11,INTERNET,1,1182,0,1,0,1,200.0,CD,40,1,0
0.1,0.115225171294646,0,linux,INTERNET,1,3104,1,1,1,1,200.0,CF,50,4,0
0.9,0.1509738773927898,0,other,INTERNET,0,824,0,0,1,1,1500.0,CA,30,7,0
0.9,0.373572130634114,0,other,INTERNET,1,1331,0,0,1,1,200.0,CA,20,5,0
0.8,0.2169817766018965,0,other,INTERNET,0,3259,1,0,1,1,200.0,CA,30,6,0
0.4,0.0907845463268832,0,linux,INTERNET,0,325,1,0,1,1,200.0,CA,20,7,0
0.4,0.195994753226864,0,other,INTERNET,1,963,0,1,1,1,500.0,CA,30,3,0
0.4,0.8812416992973129,0,other,INTERNET,0,325,1,1,1,1,1500.0,CA,40,0,0
0.9,0.7361535751005447,0,windows,INTERNET,1,2114,0,1,1,1,200.0,CA,40,5,0
0.4,0.3931552756605878,0,linux,INTERNET,1,2544,1,0,1,1,200.0,CB,30,1,0
0.2,0.4214440625115667,0,linux,INTERNET,1,1320,0,0,1,1,200.0,CA,30,1,0
0.7000000000000001,0.8310187655918984,0,linux,INTERNET,1,2046,1,0,0,1,1500.0,CA,30,1,0
0.9,0.6990774484233035,0,windows,INTERNET,0,728,0,0,1,1,1000.0,CA,40,4,0
0.1,0.4883145705168059,1,windows,INTERNET,1,1582,1,1,1,1,1500.0,CA,40,1,0
0.7000000000000001,0.5600669516918054,0,windows,INTERNET,0,1580,1,1,1,1,1500.0,CA,40,0,0
0.7000000000000001,0.5568547567730401,0,other,INTERNET,1,672,1,1,1,1,500.0,CA,30,7,0
0.9,0.0176085186458937,0,linux,INTERNET,1,1777,0,1,0,1,1500.0,CA,50,0,0
0.8,0.5684765447124525,0,linux,INTERNET,1,1016,1,1,1,1,200.0,CA,40,5,0
0.5,0.9954299192462922,0,linux,INTERNET,0,679,0,0,1,1,200.0,CA,20,0,0
0.9,0.1192688674714285,0,linux,INTERNET,1,2153,1,0,1,1,500.0,CA,30,2,0
0.5,0.9908746469966834,0,linux,INTERNET,0,546,1,1,1,1,200.0,CA,30,7,0
0.1,0.524129344365291,0,linux,INTERNET,0,2720,1,0,1,1,200.0,CA,30,2,0
0.9,0.4599799066060696,0,macintosh,INTERNET,1,1182,1,0,1,1,200.0,CA,30,1,0
0.6000000000000001,0.7236688613905506,0,other,INTERNET,1,1532,1,1,1,1,200.0,CA,20,2,0
0.9,0.0508377925244728,0,windows,INTERNET,1,1081,0,1,0,1,200.0,CB,50,5,0
0.1,0.6492531690116784,0,other,INTERNET,0,840,1,0,1,1,1500.0,CA,20,1,0
0.4,0.4010264447177423,0,windows,INTERNET,1,824,0,0,1,1,200.0,CF,30,7,0
0.9,0.1092008117525883,0,windows,INTERNET,0,3169,0,0,1,1,1500.0,CA,20,4,0
0.1,0.1468809875511835,0,other,INTERNET,0,1773,1,0,1,1,200.0,CA,30,2,0
